            ,imagenet_index,imagenet_category                                         ,correct
cat.1001.jpg,332           ,"Angora, Angora rabbit"                                   ,False
cat.103.jpg ,281           ,"tabby, tabby cat"                                        ,True
cat.1031.jpg,151           ,Chihuahua                                                 ,False
cat.1045.jpg,284           ,"Siamese cat, Siamese"                                    ,True
cat.1047.jpg,281           ,"tabby, tabby cat"                                        ,True
cat.1068.jpg,281           ,"tabby, tabby cat"                                        ,True
cat.1087.jpg,283           ,Persian cat                                               ,True
cat.110.jpg ,283           ,Persian cat                                               ,True
cat.1100.jpg,283           ,Persian cat                                               ,True
cat.1103.jpg,281           ,"tabby, tabby cat"                                        ,True
cat.1107.jpg,283           ,Persian cat                                               ,True
cat.1116.jpg,282           ,tiger cat                                                 ,True
cat.1136.jpg,281           ,"tabby, tabby cat"                                        ,True
cat.1145.jpg,588           ,hamper                                                    ,False
cat.1158.jpg,284           ,"Siamese cat, Siamese"                                    ,True
cat.1161.jpg,223           ,schipperke                                                ,False
cat.1177.jpg,332           ,"Angora, Angora rabbit"                                   ,False
cat.118.jpg ,283           ,Persian cat                                               ,True
cat.1182.jpg,264           ,"Cardigan, Cardigan Welsh corgi"                          ,False
cat.1195.jpg,284           ,"Siamese cat, Siamese"                                    ,True
cat.1198.jpg,283           ,Persian cat                                               ,True
cat.1226.jpg,742           ,printer                                                   ,False
cat.1231.jpg,700           ,paper towel                                               ,False
cat.125.jpg ,282           ,tiger cat                                                 ,True
cat.1258.jpg,283           ,Persian cat                                               ,True
cat.127.jpg ,285           ,Egyptian cat                                              ,True
cat.132.jpg ,284           ,"Siamese cat, Siamese"                                    ,True
cat.147.jpg ,223           ,schipperke                                                ,False
cat.150.jpg ,283           ,Persian cat                                               ,True
cat.155.jpg ,285           ,Egyptian cat                                              ,True
cat.173.jpg ,539           ,"doormat, welcome mat"                                    ,False
cat.183.jpg ,285           ,Egyptian cat                                              ,True
cat.196.jpg ,534           ,"dishwasher, dish washer, dishwashing machine"            ,False
cat.198.jpg ,285           ,Egyptian cat                                              ,True
cat.2.jpg   ,281           ,"tabby, tabby cat"                                        ,True
cat.205.jpg ,282           ,tiger cat                                                 ,True
cat.207.jpg ,285           ,Egyptian cat                                              ,True
cat.209.jpg ,282           ,tiger cat                                                 ,True
